#
# line_tag	ion   wavelength  f	    gamma      mass

FeIIIe_625     FeIIIe  625.4459  0.00012316  1.586e+09  55.845
FeIIIx_630     FeIIIx  630.6453  0.00015324  1.231e+09  55.845
FeIIIo_631     FeIIIo  631.1986  0.00011011  1.626e+09  55.845
FeIIIi_632     FeIIIi  632.2382  0.00017439  1.583e+09  55.845
FeIIIx_633     FeIIIx  633.7746  0.00066243  1.381e+09  55.845
FeIIIj_634     FeIIIj  634.3235  0.00027508  1.583e+09  55.845
FeIIIs_653     FeIIIs  653.7983  0.00027877  1.327e+09  55.845
FeIIIs_655     FeIIIs  655.0761  0.00010899  1.626e+09  55.845
FeIIIu_655     FeIIIu  655.6845  0.00060460  1.626e+09  55.845
FeIIIs_658     FeIIIs  658.0097  0.00022590  1.563e+09  55.845
FeIIIs_658.0   FeIIIs  658.0252  0.00018761  1.465e+09  55.845
FeIIIt_658     FeIIIt  658.0515  0.00056937  1.563e+09  55.845
FeIIIu_658     FeIIIu  658.6391  0.00024761  1.465e+09  55.845
FeIIIx_664     FeIIIx  664.3539  0.00056776  2.484e+09  55.845
FeIIIh_667     FeIIIh  667.4315  0.00014441  2.096e+09  55.845
FeIIIf_672     FeIIIf  672.3663  0.00010495  1.446e+09  55.845
FeIIIs_673     FeIIIs  673.0633  0.00332801  1.586e+09  55.845
FeIIIt_673     FeIIIt  673.1070  0.00043587  1.586e+09  55.845
FeIIIg_673     FeIIIg  673.4951  0.00020198  1.446e+09  55.845
FeIIIu_673     FeIIIu  673.7055  0.01108214  1.586e+09  55.845
FeIIIs_675     FeIIIs  675.0356  0.00848499  1.583e+09  55.845
FeIIIt_675     FeIIIt  675.0796  0.00548658  1.583e+09  55.845
FeIIIt_675.8   FeIIIt  675.8747  0.00673457  1.563e+09  55.845
FeIIIx_676     FeIIIx  676.2923  0.00061852  1.327e+09  55.845
FeIIIf_679     FeIIIf  679.1294  0.01392540  1.402e+09  55.845
FeIIIg_680     FeIIIg  680.2810  0.00020052  1.402e+09  55.845
FeIIIg_680.7   FeIIIg  680.7042  0.01165191  1.498e+09  55.845
FeIIIx_680     FeIIIx  680.8161  0.00032036  1.465e+09  55.845
FeIIIh_681     FeIIIh  681.5452  0.00052092  1.498e+09  55.845
FeIIIh_682     FeIIIh  682.1123  0.00732449  1.663e+09  55.845
FeIIIf_683     FeIIIf  683.0697  0.00561023  7.797e+08  55.845
FeIIIg_684     FeIIIg  684.2347  0.00029366  7.797e+08  55.845
FeIIIh_684     FeIIIh  684.8564  0.00656315  1.735e+09  55.845
FeIIIg_685     FeIIIg  685.2996  0.00217760  1.838e+09  55.845
FeIIIf_685     FeIIIf  685.4552  0.00058234  8.306e+08  55.845
FeIIIk_685     FeIIIk  685.6983  0.00130959  1.402e+09  55.845
FeIIIk_686     FeIIIk  686.1283  0.00063946  1.498e+09  55.845
FeIIIg_686     FeIIIg  686.6284  0.00634741  8.306e+08  55.845
FeIIIk_686.7   FeIIIk  686.7032  0.00075334  1.663e+09  55.845
FeIIIl_687     FeIIIl  687.2495  0.00117446  1.498e+09  55.845
FeIIIh_687     FeIIIh  687.4841  0.00033257  8.306e+08  55.845
FeIIIg_687     FeIIIg  687.6700  0.00028308  8.034e+08  55.845
FeIIIl_687.8   FeIIIl  687.8262  0.00090082  1.663e+09  55.845
FeIIIl_688     FeIIIl  688.2201  0.00033122  1.916e+09  55.845
FeIIIh_688     FeIIIh  688.5283  0.00648209  8.034e+08  55.845
FeIIIm_688     FeIIIm  688.5713  0.00088770  1.663e+09  55.845
FeIIIp_688     FeIIIp  688.8585  0.00013517  2.096e+09  55.845
FeIIIm_688.9   FeIIIm  688.9660  0.00048677  1.916e+09  55.845
FeIIIn_690     FeIIIn  690.9945  0.00014584  1.560e+09  55.845
FeIIIm_691     FeIIIm  691.3677  0.00104341  1.735e+09  55.845
FeIIIl_691     FeIIIl  691.9340  0.00025472  1.838e+09  55.845
FeIIIn_693     FeIIIn  693.3791  0.00024219  1.446e+09  55.845
FeIIIx_696     FeIIIx  696.9266  0.00018569  1.586e+09  55.845
FeIIIx_699     FeIIIx  699.0415  0.00011473  1.583e+09  55.845
FeIIIn_700     FeIIIn  700.5737  0.01228855  1.402e+09  55.845
FeIIIn_701     FeIIIn  701.0226  0.00500947  1.498e+09  55.845
FeIIIo_702     FeIIIo  702.4571  0.00062661  1.402e+09  55.845
FeIIIo_702.9   FeIIIo  702.9084  0.00881497  1.498e+09  55.845
FeIIIo_703     FeIIIo  703.5117  0.00929181  1.663e+09  55.845
FeIIIp_703     FeIIIp  703.9031  0.00076981  1.498e+09  55.845
FeIIIp_704     FeIIIp  704.5081  0.00494102  1.663e+09  55.845
FeIIIn_704     FeIIIn  704.7676  0.00062309  7.797e+08  55.845
FeIIIp_704.9   FeIIIp  704.9213  0.01154754  1.916e+09  55.845
FeIIIn_705     FeIIIn  705.8974  0.00837394  1.838e+09  55.845
FeIIIo_706     FeIIIo  706.4310  0.00353232  1.735e+09  55.845
FeIIIn_707     FeIIIn  707.3074  0.00031352  8.306e+08  55.845
FeIIIp_707     FeIIIp  707.4357  0.01020444  1.735e+09  55.845
FeIIIo_707     FeIIIo  707.8095  0.00422881  1.838e+09  55.845
FeIIIp_708     FeIIIp  708.8182  0.00015689  1.838e+09  55.845
FeIIIa_709     FeIIIa  709.0660  0.00022086  1.240e+09  55.845
FeIII_709      FeIII   709.2063  0.00049166  1.425e+09  55.845
FeIIIo_709     FeIIIo  709.2272  0.00112449  8.306e+08  55.845
FeIIIo_710     FeIIIo  710.3385  0.00023527  8.034e+08  55.845
FeIIIb_710     FeIIIb  710.5914  0.00043136  1.240e+09  55.845
FeIIIe_710     FeIIIe  710.9250  0.00023960  1.290e+09  55.845
FeIIIe_711     FeIIIe  711.0706  0.00068680  1.274e+09  55.845
FeIIIp_711     FeIIIp  711.3544  0.00136559  8.034e+08  55.845
FeIIIa_711     FeIIIa  711.4050  0.00028877  1.425e+09  55.845
FeIIIc_711     FeIIIc  711.9118  0.00055976  1.172e+09  55.845
FeIIId_712     FeIIId  712.0362  0.00051536  1.204e+09  55.845
FeIII_715      FeIII   715.1700  0.00046086  1.381e+09  55.845
FeIII_717      FeIII   717.0361  0.00049462  1.346e+09  55.845
FeIIIa_717     FeIIIa  717.4059  0.00017064  1.381e+09  55.845
FeIIIi_717     FeIIIi  717.4362  0.00039613  1.305e+09  55.845
FeIIIi_717.4   FeIIIi  717.4722  0.00027861  1.290e+09  55.845
FeIIIi_717.6   FeIIIi  717.6205  0.00046840  1.274e+09  55.845
FeIIIa_718     FeIIIa  718.4465  0.00012835  1.426e+09  55.845
FeIIIm_718     FeIIIm  718.5909  0.00010451  1.150e+09  55.845
FeIIIj_720     FeIIIj  720.1589  0.00138094  1.290e+09  55.845
NiII_720       NiII    720.2483  0.00019185  5.394e+07  58.693
FeIIIr_722     FeIIIr  722.4182  0.04237241  1.446e+09  55.845
FeIIIu_722     FeIIIu  722.4396  0.00029779  1.560e+09  55.845
FeIIIv_722     FeIIIv  722.5893  0.00141690  1.560e+09  55.845
FeIIIl_722     FeIIIl  722.8684  0.00029098  1.274e+09  55.845
FeIIIm_723     FeIIIm  723.5406  0.00017942  1.290e+09  55.845
FeIIIk_724     FeIIIk  724.4737  0.00023257  8.238e+08  55.845
FeIIIv_725     FeIIIv  725.1974  0.00272725  1.446e+09  55.845
FeIIIl_725     FeIIIl  725.7238  0.00031822  8.238e+08  55.845
